order_id,order_status,order_purchase_timestamp,has_order_items,has_payments,has_reviews,missing_order_items,missing_payments,missing_reviews
403b97836b0c04a622354cf531062e5f,delivered,2018-01-02 19:00:43,True,True,False,False,False,True
6942b8da583c2f9957e990d028607019,shipped,2018-01-10 11:33:07,True,True,False,False,False,True
8e24261a7e58791d10cb1bf9da94df5c,unavailable,2017-11-16 15:09:28,False,True,True,True,False,False
4906eeadde5f70b308c20c4a8f20be02,delivered,2017-12-08 04:45:26,True,True,False,False,False,True
b7a4a9ecb1cd3ef6a3e36a48e200e3be,delivered,2017-05-19 18:13:54,True,True,False,False,False,True
59b32faedc12322c672e95ec3716d614,delivered,2018-06-27 11:10:11,True,True,False,False,False,True
c2215076050fa358934105b15c34cf3b,delivered,2017-07-16 10:04:36,True,True,False,False,False,True
eafef0e6c44f121531569a69a318c3b3,delivered,2017-11-29 13:03:33,True,True,False,False,False,True
c272bcd21c287498b4883c7512019702,unavailable,2018-01-31 11:31:37,False,True,True,True,False,False
37553832a3a89c9b2db59701c357ca67,unavailable,2017-08-14 17:38:02,False,True,True,True,False,False
d57e15fb07fd180f06ab3926b39edcd2,unavailable,2018-01-08 19:39:03,False,True,True,True,False,False
95d9d2979d40161be87292ff88563cba,delivered,2018-06-07 23:42:37,True,True,False,False,False,True
a9b151f0c0471d9b2534fa73c9c0e123,delivered,2017-03-09 16:18:47,True,True,False,False,False,True
5e8d0f2f1e06e715aee3eefe4c175e52,delivered,2017-11-28 22:50:22,True,True,False,False,False,True
8187896518689722d7c05bfbaeed0933,delivered,2017-11-29 14:11:10,True,True,False,False,False,True
00b1cb0320190ca0daa2c88b35206009,canceled,2018-08-28 15:26:39,False,True,True,True,False,False
ec9b762e44b1848fb62eab0de58e8abf,delivered,2018-08-02 14:43:34,True,True,False,False,False,True
2f634e2cebf8c0283e7ef0989f77d217,unavailable,2017-09-27 20:55:33,False,True,True,True,False,False
ee0db22a8e742b752914016708470ec8,unavailable,2017-08-24 11:04:41,False,True,True,True,False,False
ed3efbd3a87bea76c2812c66a0b32219,canceled,2018-09-20 13:54:16,False,True,True,True,False,False
5394217c78ea24ee2b377c043b6bd7d9,delivered,2017-07-04 10:24:45,True,True,False,False,False,True
6ad57aecbae806a7e9cc2cdb6b380711,unavailable,2017-11-30 07:48:24,False,True,True,True,False,False
bf4072fdc2122c74befd6df427938cab,delivered,2018-01-24 14:19:05,True,True,False,False,False,True
df8282afe61008dc26c6c31011474d02,canceled,2017-03-04 12:14:30,False,True,True,True,False,False
8d4c637f1accf7a88a4555f02741e606,canceled,2018-08-29 16:27:49,False,True,True,True,False,False
9f3458f0433d4cfa472f4682654b8d49,unavailable,2017-07-18 23:36:55,False,True,True,True,False,False
7a9d4c7f9b068337875b95465330f2fc,canceled,2017-05-01 16:12:39,False,True,True,True,False,False
d8f57f08383291ef5fa6cb91dc1a4e02,delivered,2018-02-05 08:33:27,True,True,False,False,False,True
f0df036e9be21fc238f131bbfcdde769,unavailable,2017-02-24 23:39:21,False,True,True,True,False,False
